trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
399,False,"{'a': 0.002, 'e': 0.699570552412728}",25,0,-212.2274950186375,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
400,False,"{'a': 0.002, 'e': 0.6981400271595356}",20,3,-15.815828808287321,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
401,False,"{'a': 0.002, 'e': 0.6967067093471654}",25,5,-62.954547865707,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",1
402,False,"{'a': 0.002, 'e': 0.6952706047088867}",20,7,-95.20989466382609,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 1}",1
403,False,"{'a': 0.002, 'e': 0.6938317189891162}",25,5,-53.14247328676484,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",1
404,False,"{'a': 0.002, 'e': 0.6923900579433949}",20,13,-81.87900012313558,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 2}",1
405,False,"{'a': 0.002, 'e': 0.690945627338365}",25,0,-48.455417390354555,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
406,False,"{'a': 0.002, 'e': 0.689498432951747}",20,0,-151.71123391808737,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",1
407,False,"{'a': 0.002, 'e': 0.6880484805723165}",20,0,-103.92554795567466,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
408,False,"{'a': 0.002, 'e': 0.6865957759998811}",30,5,-148.94841873861196,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",1
409,False,"{'a': 0.002, 'e': 0.6851403250452572}",20,11,-27.622485694363842,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
410,False,"{'a': 0.002, 'e': 0.6836821335302466}",20,8,-67.39416438373185,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
411,False,"{'a': 0.002, 'e': 0.6822212072876135}",25,0,-74.17252554809892,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
412,False,"{'a': 0.002, 'e': 0.6807575521610608}",25,0,-32.943407171129195,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
413,False,"{'a': 0.002, 'e': 0.6792911740052072}",25,0,-42.82580824692264,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
414,False,"{'a': 0.002, 'e': 0.6778220786855633}",25,10,-48.98726708174285,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
415,False,"{'a': 0.002, 'e': 0.6763502720785084}",25,0,-52.94104248921316,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
416,False,"{'a': 0.002, 'e': 0.674875760071267}",20,0,-31.843544058279004,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
417,False,"{'a': 0.002, 'e': 0.6733985485618852}",20,10,-37.624425324110625,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
418,False,"{'a': 0.002, 'e': 0.671918643459207}",30,0,-23.81250455757109,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
419,False,"{'a': 0.002, 'e': 0.6704360506828508}",25,0,-40.60057194499452,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
420,False,"{'a': 0.002, 'e': 0.6689507761631859}",20,0,-75.9086668489242,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
421,False,"{'a': 0.002, 'e': 0.6674628258413081}",25,16,-3.238146868814234,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
422,False,"{'a': 0.002, 'e': 0.665972205669017}",20,0,-59.72300057676569,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
